,itemTypeDisplayName,displayProperties.name,defaultDamageTypeHash,equippingBlock.equipmentSlotTypeHash,equippingBlock.ammoType,sockets.socketEntries.0.singleInitialItemHash,sockets.socketEntries.1.randomizedPlugSetHash,sockets.socketEntries.2.randomizedPlugSetHash,sockets.socketEntries.3.randomizedPlugSetHash,sockets.socketEntries.4.randomizedPlugSetHash
-1130223712,Sniper Rifle,Eye of Sol,Kinetic,Kinetic,Special,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Moving Target', 'Surplus', 'No Distractions', 'Killing Wind', 'Tunnel Vision']","['Celerity', 'High-Impact Reserves', 'Snapshot Sights', 'Vorpal Weapon', 'Opening Shot', 'Celerity']"
-1129419912,Grenade Launcher,Memory Interdict,Void,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']","['Clown Cartridge', 'Auto-Loading Holster', 'Quickdraw', 'Impulse Amplifier', 'Underdog', 'Surplus']","['Chain Reaction', 'Wellspring', 'Danger Zone', 'Disruption Break', 'Unrelenting', 'Elemental Capacitor']"
-1125350782,Sniper Rifle,Bite of the Fox,Kinetic,Kinetic,Special,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Snapshot Sights', 'Rapid Hit', 'Firmly Planted', 'Threat Detector', 'Hip-Fire Grip']","['Explosive Payload', 'Rampage', 'Moving Target', 'Opening Shot', 'Field Prep', 'Ambitious Assassin']"
-1108948923,Scout Rifle,Vision of Confluence,Solar,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Tunnel Vision', 'Wellspring', 'Surplus', 'Rewind Rounds', 'Killing Wind', 'Zen Moment', 'Zen Moment']","['Firefly', 'Kill Clip', 'Disruption Break', 'Frenzy', 'Thresh', 'Full Auto Trigger System', 'Full Auto Trigger System']"
-1097697056,Shotgun,Found Verdict,Arc,Energy,Special,Aggressive Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Rewind Rounds', 'Surplus', 'Unrelenting', 'Slideshot', 'Auto-Loading Holster', 'Full Auto Trigger System', 'Full Auto Trigger System']","['Demolitionist', 'One-Two Punch', 'Opening Shot', 'Frenzy', 'Killing Wind', 'Vorpal Weapon', 'Vorpal Weapon']"
-1052798957,Scout Rifle,Vouchsafe,Void,Energy,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Under Pressure', 'Rapid Hit', 'Outlaw', ""Fourth Time's the Charm"", 'Surplus']","['Dragonfly', 'Explosive Payload', 'Eye of the Storm', 'Wellspring', 'Multikill Clip', 'Vorpal Weapon']"
-1036301884,Fusion Rifle,Trinary System,Solar,Energy,Special,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Slideshot', 'Ambitious Assassin', 'Surplus', 'Hip-Fire Grip', 'Grave Robber', 'Auto-Loading Holster', 'Killing Wind', 'Feeding Frenzy', 'Slideways', 'Under Pressure', 'Quickdraw', 'Firmly Planted']","['Swashbuckler', 'One for All', 'Wellspring', 'Multikill Clip', 'Thresh', 'Unrelenting', 'Tap the Trigger', 'Disruption Break', 'Demolitionist', 'Kill Clip', 'Backup Plan', 'High-Impact Reserves']"
-1013682221,Hand Cannon,Posterity,Arc,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Rapid Hit', 'Feeding Frenzy', ""Fourth Time's the Charm"", 'Surplus', 'Reconstruction', 'Killing Wind']","['Demolitionist', 'Unrelenting', 'Rampage', 'Opening Shot', 'Redirection', 'One for All']"
-959623933,Linear Fusion Rifle,Tarantula,Arc,Power,Heavy,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Feeding Frenzy', 'Firmly Planted', 'Moving Target', 'Genesis', 'Field Prep', 'Pulse Monitor']","['Wellspring', 'Snapshot Sights', 'Kill Clip', 'Dragonfly', 'Rampage', 'Box Breathing']"
-938441043,Shotgun,Wishbringer,Solar,Energy,Special,Rapid-Fire Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Slideshot', 'Threat Detector', 'Field Prep', 'Pulse Monitor', 'Hip-Fire Grip', 'Grave Robber']","['Rampage', 'Snapshot Sights', 'Moving Target', 'Auto-Loading Holster', 'Opening Shot']"
-928421575,Sword,Bequest,Arc,Power,Heavy,Adaptive Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Energy Transfer', 'Tireless Blade', 'Relentless Strikes', 'Thresh']","['Flash Counter', 'En Garde', 'Surrounded', ""Assassin's Blade""]"
-909640575,Auto Rifle,Reckless Oracle,Void,Energy,Primary,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Mulligan', 'Under Pressure', 'Auto-Loading Holster', 'Outlaw']","['Kill Clip', 'Triple Tap', 'Swashbuckler', 'Demolitionist']"
-860023291,Combat Bow,Point of the Stag,Arc,Energy,Primary,Precision Frame,['Static'],['Static'],['Static'],['Static']
-840641119,Sniper Rifle,Omniscient Eye,Solar,Energy,Special,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Genesis', 'Mulligan', 'Outlaw', 'No Distractions']","['Dragonfly', 'Multikill Clip', 'Snapshot Sights', 'Rampage']"
-834844799,Combat Bow,Imperial Needle,Void,Energy,Primary,Lightweight Frame,"['Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Polymer String']","['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching']","['Quickdraw', 'Impulse Amplifier', 'Killing Wind', 'Sneak Bow', 'Hip-Fire Grip', ""Archer's Tempo""]","['Thresh', 'Wellspring', 'Swashbuckler', 'Opening Shot', 'Sympathetic Arsenal', 'Frenzy']"
-821677209,Sniper Rifle,Frozen Orbit,Void,Energy,Special,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Surplus', 'Outlaw', 'Clown Cartridge', 'Genesis', 'Killing Wind', 'No Distractions', 'Auto-Loading Holster', 'Lead from Gold', 'Triple Tap', 'Moving Target', 'Ambitious Assassin', 'Firmly Planted']","['Wellspring', 'Thresh', 'Demolitionist', 'Multikill Clip', 'Kill Clip', 'High-Impact Reserves', 'Vorpal Weapon', 'Box Breathing', 'Dragonfly', 'Opening Shot', 'Snapshot Sights', 'Quickdraw']"
-790631120,Scout Rifle,Night Watch,Kinetic,Kinetic,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Subsistence', 'Outlaw', 'Rapid Hit', 'Snapshot Sights', 'Threat Detector']","['Explosive Payload', 'Rampage', 'Moving Target', 'Demolitionist', 'Multikill Clip']"
-782617684,Fusion Rifle,Coriolis Force,Void,Energy,Special,Aggressive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Ambitious Assassin', 'Pulse Monitor', 'Under Pressure', 'Killing Wind', 'Moving Target', 'Feeding Frenzy']","['Slideways', 'Eye of the Storm', 'Unrelenting', 'Rangefinder', 'One for All', 'Thresh']"
-780871292,Scout Rifle,Eternal Blazon,Arc,Energy,Primary,Lightweight Frame,"['Signal MS5', 'Impulse MS3', 'Transmission MS7', 'Candle PS', 'Spark PS', 'Jolt PS', 'Flash HS5', 'Torch HS3']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Full Auto Trigger System', 'Killing Wind', 'Overflow', 'Slideshot', 'Rapid Hit', 'Quickdraw']","['Rangefinder', 'Kill Clip', 'One for All', 'Unrelenting', 'Disruption Break', 'Thresh']"
-780822368,Auto Rifle,The Summoner (Adept),Solar,Energy,Primary,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Underdog', 'Zen Moment', 'Overflow', 'Moving Target', 'Dynamic Sway Reduction']","['Rampage', 'Elemental Capacitor', 'Dragonfly', 'Rangefinder', 'Celerity']"
-737968050,Scout Rifle,Pleiades Corrector,Solar,Energy,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Field Prep', ""Fourth Time's the Charm"", 'Surplus', 'Outlaw', 'Subsistence', 'Genesis']","['Demolitionist', 'Sympathetic Arsenal', 'Eye of the Storm', 'Elemental Capacitor', 'Wellspring', 'Multikill Clip']"
-729446581,Grenade Launcher,Crowd Pleaser,Void,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']","['Grave Robber', 'Underdog', 'Ambitious Assassin', 'Genesis', 'Killing Wind', 'Field Prep', 'Surplus', 'Clown Cartridge', 'Pulse Monitor', 'Threat Detector']","['Moving Target', 'Rampage', 'Unrelenting', 'Elemental Capacitor', 'Snapshot Sights', 'Thresh', 'Demolitionist', 'Elemental Capacitor', 'Chain Reaction', 'Quickdraw']"
-701369286,Pulse Rifle,The Time-Worn Spire,Kinetic,Kinetic,Primary,Rapid-Fire Frame,"['Rifle Scope ST', 'Rifle Scope SSF', 'Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Feeding Frenzy', 'Quickdraw', 'Moving Target', 'Under Pressure', 'Slideways', 'Subsistence']","['Rampage', 'Vorpal Weapon', 'One for All', 'Iron Grip', 'Iron Reach', 'Iron Gaze']"
-678380850,Shotgun,"First In, Last Out",Arc,Energy,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Pulse Monitor', 'Outlaw', 'Auto-Loading Holster', 'Hip-Fire Grip', 'Slideshot']","['Demolitionist', 'Eye of the Storm', 'Surrounded', 'Opening Shot', 'Vorpal Weapon']"
-664998531,Sword,Negative Space,Solar,Power,Heavy,Adaptive Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Energy Transfer', 'Tireless Blade', 'Relentless Strikes']","['Counterattack', 'Surrounded', 'Disruption Break', 'Flash Counter', 'Whirlwind Blade']"
-657397120,Sniper Rifle,Eye of Sol (Adept),Kinetic,Kinetic,Special,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Moving Target', 'Surplus', 'No Distractions', 'Killing Wind', 'Tunnel Vision']","['Celerity', 'High-Impact Reserves', 'Snapshot Sights', 'Vorpal Weapon', 'Opening Shot', 'Celerity']"
-641394124,Sniper Rifle,Praedyth's Revenge,Kinetic,Kinetic,Special,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']","['Quickdraw', 'Osmosis', 'Rewind Rounds', 'No Distractions', 'Moving Target', 'Feeding Frenzy', 'Feeding Frenzy']","['Adrenaline Junkie', 'Opening Shot', 'Frenzy', 'High-Impact Reserves', 'Kill Clip', 'Firefly', 'Firefly']"
-636778592,Pulse Rifle,The Messenger,Kinetic,Kinetic,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Rapid Hit', 'Zen Moment', 'Killing Wind', 'Outlaw', 'Moving Target']","['One for All', 'Desperado', 'Headseeker', 'Celerity', 'Kill Clip', 'Celerity']"
-625350843,Rocket Launcher,Hoosegow,Arc,Power,Heavy,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Underdog', 'Threat Detector', 'Snapshot Sights', 'Field Prep', 'Auto-Loading Holster', 'Tracking Module']","['Rangefinder', 'Cluster Bomb', 'Kill Clip', 'Demolitionist', 'Quickdraw']"
-612163616,Submachine Gun,Shayura's Wrath,Void,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Tunnel Vision', 'Dynamic Sway Reduction', 'Heating Up', 'Quickdraw']","['Celerity', 'Adrenaline Junkie', 'Kill Clip', 'Tap the Trigger', 'Snapshot Sights', 'Celerity']"
-577789579,Submachine Gun,Multimach CCX,Kinetic,Kinetic,Primary,Lightweight Frame,"['IS 2 Classic', 'IS 5 Circle', 'Model 6 Loop', 'Model 8 Red']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Subsistence', 'Hip-Fire Grip', 'Threat Detector', 'Quickdraw', 'Dynamic Sway Reduction']","['Kill Clip', 'One for All', 'Unrelenting', 'Iron Reach', 'Iron Gaze', 'Iron Grip']"
-554124635,Rocket Launcher,Sleepless,Arc,Power,Heavy,High-Impact Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Auto-Loading Holster', 'Field Prep', 'Tracking Module', 'Quickdraw', 'Underdog', 'Surplus']","['Chain Reaction', 'Rangefinder', 'Unrelenting', 'Demolitionist', 'Wellspring', 'Vorpal Weapon']"
-548977151,Sniper Rifle,Long Shadow,Kinetic,Kinetic,Special,Adaptive Frame,"['ATB Long Range', 'ATD Raptor', 'ATA Scout', 'ATC Rex']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Hip-Fire Grip', 'Firmly Planted', 'Snapshot Sights', 'Rapid Hit', 'Threat Detector', 'Field Prep']","['Triple Tap', 'Ambitious Assassin', 'Explosive Payload', 'Rampage', 'Outlaw', 'Moving Target']"
-498456862,Machine Gun,Corrective Measure (Timelost),Void,Power,Heavy,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Surplus', 'Feeding Frenzy', 'Rewind Rounds', 'Subsistence', 'Demolitionist', 'Dynamic Sway Reduction', 'Dynamic Sway Reduction']","['Adrenaline Junkie', 'Thresh', 'One for All', 'Tap the Trigger', 'High-Impact Reserves', 'Firefly', 'Firefly']"
-494986596,Scout Rifle,Transfiguration,Kinetic,Kinetic,Primary,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine']","['Triple Tap', 'Auto-Loading Holster', 'Zen Moment', 'Rampage']","['Kill Clip', 'Ambitious Assassin', 'Opening Shot', 'Moving Target']"
-481814216,Hand Cannon,Finite Impactor,Arc,Energy,Primary,Adaptive Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Under Pressure', 'No Distractions', 'Firmly Planted', 'Heating Up', 'Killing Wind', 'Slideways']","['Eye of the Storm', 'Iron Grip', 'Iron Reach', 'Multikill Clip', 'One for All', 'Elemental Capacitor']"
-465681336,Auto Rifle,Horror Story,Kinetic,Kinetic,Primary,Precision Frame,"['Rifle Scope ST', 'Rifle Scope SSF', 'Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Grave Robber', 'Killing Wind', 'Firmly Planted', 'Subsistence', 'Ambitious Assassin', 'Outlaw']","['Sympathetic Arsenal', 'Demolitionist', 'Osmosis', 'Moving Target', 'Snapshot Sights', 'Slideways']"
-458105832,Machine Gun,THE SWARM (Adept),Arc,Power,Heavy,High-Impact Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Outlaw', 'Bottomless Grief', 'Dynamic Sway Reduction', 'Surplus', 'Unrelenting', 'Bottomless Grief']","['Zen Moment', 'Slideways', 'Tap the Trigger', 'One for All', 'Dragonfly', 'Vorpal Weapon']"
-447829676,Sword,Sola's Scar (Adept),Solar,Power,Heavy,Caster Frame,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']","['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]","['Tireless Blade', 'Relentless Strikes', 'Energy Transfer']","['Thresh', 'Vorpal Weapon', 'En Garde', ""Assassin's Blade"", 'Chain Reaction', 'Counterattack', 'Thresh']"
-357100908,Sidearm,Seventh Seraph SI-2,Void,Energy,Primary,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Auto-Loading Holster', 'Field Prep', 'Hip-Fire Grip', 'Full Auto Trigger System', 'Threat Detector', 'Demolitionist']","['Dragonfly', 'Surrounded', 'Vorpal Weapon', 'Elemental Capacitor', 'Snapshot Sights', 'Zen Moment']"
-274224993,Shotgun,Prophet of Doom,Arc,Energy,Special,Precision Frame,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Full Auto Trigger System', 'Slideways', 'Feeding Frenzy', 'Genesis']","['One-Two Punch', 'Opening Shot', 'Rampage', 'Shield Disorient']"
-271159575,Submachine Gun,Shayura's Wrath (Adept),Void,Energy,Primary,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']","['Killing Wind', 'Tunnel Vision', 'Dynamic Sway Reduction', 'Heating Up', 'Quickdraw']","['Celerity', 'Adrenaline Junkie', 'Kill Clip', 'Tap the Trigger', 'Snapshot Sights', 'Celerity']"
-257221612,Shotgun,Bonechiller,Void,Energy,Special,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']","['Firmly Planted', 'Dual Loader', 'Lead from Gold', 'Surplus', 'Auto-Loading Holster', 'Triple Tap']","['Dragonfly', 'Demolitionist', 'Slideways', 'One for All', 'Threat Detector', 'Opening Shot']"
-244322073,Rocket Launcher,Hezen Vengeance,Solar,Power,Heavy,Aggressive Frame,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']","['Tracking Module', 'Quickdraw', 'Auto-Loading Holster', 'Impulse Amplifier', 'Surplus', 'Overflow', 'Overflow']","['Vorpal Weapon', 'Lasting Impression', 'Demolitionist', 'Wellspring', 'Thresh', 'Cluster Bomb', 'Cluster Bomb']"
-200310188,Fusion Rifle,Techeun Force,Arc,Energy,Special,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']","['Under Pressure', 'Snapshot Sights', 'Threat Detector', 'Kill Clip']","['Backup Plan', 'Rampage', 'High-Impact Reserves', 'Rangefinder']"
