,hash,displayProperties.name
1385518514,1385518514,Liquid Cooling
1392496348,1392496348,Polygonal Rifling
1394384862,1394384862,Precision Slug
1395580616,1395580616,Burial Wrap
1395789926,1395789926,Wave Frame
1408087974,1408087974,Combat Sights
1408087975,1408087975,Marksman Sights
1409366784,1409366784,Burning Red
1409978308,1409978308,Spark PS
1409978309,1409978309,Candle PS
1409978311,1409978311,Jolt PS
1414396215,1414396215,Itsy-Bitsy Spider
1418556229,1418556229,Lord of the Hunt
1419069769,1419069769,Lightning Rounds
1420473289,1420473289,Blood Magic
1427256713,1427256713,Reservoir Burst
1431678320,1431678320,Alloy Magazine
1441682018,1441682018,Linear Compensator
1445854248,1445854248,Electric Violet
1449897496,1449897496,Adamantine Brace
1449897497,1449897497,Sharp Edges
1452368632,1452368632,Wolf Dot W2
1452368633,1452368633,King Dot K2
1452368634,1452368634,Dusk Dot D1
1458010786,1458010786,Lightweight Frame
1466306887,1466306887,Restorative Titan Armor
1467527085,1467527085,Extended Barrel
1470121888,1470121888,Queen's Wrath
1471333428,1471333428,Surrounded Spec
1473300982,1473300982,Red String of Fate
1478423395,1478423395,Volatile Launch
1482024992,1482024992,Smallbore
1483536627,1483536627,Ionized Battery
1484442054,1484442054,Monte Carlo Method
1491926336,1491926336,Ranged Lens RLR5
1491926337,1491926337,Focus Lens FLS2
1491926338,1491926338,Ranged Lens RLS3
1500996326,1500996326,Natural Fletching
1513177792,1513177792,Mercurial Affliction
1513326571,1513326571,Taken Spec
1522454198,1522454198,Unyielding Grasp
1523832109,1523832109,Reconstruction
1525239159,1525239159,Aggressive Frame
1525622117,1525622117,Adept Counterbalance
1528281896,1528281896,Outlaw
1530804125,1530804125,Superconductor
1531126198,1531126198,Wire Rifle
1531403410,1531403410,Mobile Hunter Armor
1535205434,1535205434,Climate Change
1541998888,1541998888,Lucid Melody
1546315793,1546315793,"Unhearing, to Be Told"
1546637391,1546637391,Vorpal Weapon
1546799103,1546799103,Perfluorocarbon
1549056416,1549056416,Flash Freeze
1556840489,1556840489,Lead from Gold
1561002382,1561002382,High-Caliber Rounds
1561789734,1561789734,Firefly
1563263613,1563263613,Law of Induction
1570042021,1570042021,Heating Up
1570516124,1570516124,Salute to the Colonel
1573888036,1573888036,Split Electron
1576402082,1576402082,Let the Future Narrow
1588595445,1588595445,Counterbalance Stock
1600092898,1600092898,Backup Plan
1606218149,1606218149,Heated Exchange
1617168101,1617168101,Augury of Snakes
1617987572,1617987572,SSO-08 Sniper
1617987574,1617987574,SSO-05 Sniper
1617987575,1617987575,SSO-07 Sniper
1628165636,1628165636,Torch HS3
1628165637,1628165637,Flash HS5
1630611952,1630611952,Red Dwarf
1631667848,1631667848,Grave Robber
1633794450,1633794450,Mobility Enhancement Mod
1636108362,1636108362,Precision Frame
1644978187,1644978187,Cuddly Throwback
1645158859,1645158859,Under Pressure
1650852150,1650852150,Long March
1656957541,1656957541,Charge Shot
1657056865,1657056865,Ahamkara's Eye
1657401727,1657401727,Transmutation
1658733671,1658733671,The Roadborn
1667892708,1667892708,Sunfire Furnace
1667892710,1667892710,Survival Well
1667892711,1667892711,Auto-Loading Link
1672094182,1672094182,SUROS Chrome
1673894252,1673894252,Splice of Life
1683379515,1683379515,Disruption Break
1685431615,1685431615,En Garde
1687327062,1687327062,Death at First Glance
1687452232,1687452232,Liquid Coils
1694242448,1694242448,Illegally Modded Holster
1694242449,1694242449,Uncanny Arrows
1694242450,1694242450,Hydraulic Boosters
1699724249,1699724249,Big-Game Hunter
1710791394,1710791394,Adept Targeting
1713206376,1713206376,Lightweight Frame
1713959253,1713959253,Deep Stone Crypt Armor
1716000303,1716000303,Concussion Grenades
1728041517,1728041517,Restorative Titan Armor
1731450287,1731450287,Clenched Fist
1733242439,1733242439,Only the Penitent Pass
1748595581,1748595581,Beware the Red Legion
1749209109,1749209109,Relentless Strikes
1750365155,1750365155,Beachheader VI
1754714824,1754714824,Kickstart
1771339417,1771339417,Firing Line
1771897777,1771897777,Augmented Drum
1774574192,1774574192,Osmosis
1779420771,1779420771,Survivalist Hunter Armor
1784898267,1784898267,Natural String
1791592647,1791592647,Explosive Shadow
1797707170,1797707170,Judgment
1799762209,1799762209,Cornered
1820235745,1820235745,Subsistence
1828076537,1828076537,Necrosis
1828251441,1828251441,Assault Barricade
1837151577,1837151577,Dragonfly Spec
1837294881,1837294881,Void Damage Mod
1840239774,1840239774,Fluted Barrel
1844314558,1844314558,Parting Gift
1844523823,1844523823,Confined Launch
1853177948,1853177948,Business Time
1854219966,1854219966,Blind Faith
1856805547,1856805547,Particle Accelerator
1863355414,1863355414,Mark of the Devourer
1865779065,1865779065,Four-Headed Mongrel
1866048759,1866048759,Hip-Fire Grip
1869157938,1869157938,Ain't My First Rodeo
1871253230,1871253230,Patient Zero
1871253231,1871253231,Pandemic
1885045197,1885045197,Adept Draw Time
1885400500,1885400500,Ricochet Rounds
1890422124,1890422124,Tap the Trigger
1895044987,1895044987,Survivalist Hunter Armor
1904833599,1904833599,Ronin
1906359096,1906359096,Between Breaths
1906359097,1906359097,Bound Hammer
1919923227,1919923227,Overflowing Light
1926090090,1926090090,Crossfire HCS
1926090091,1926090091,Sureshot HCS
1926090092,1926090092,TrueSight HCS
1926090093,1926090093,HitMark HCS
1926090094,1926090094,Fastdraw HCS
1926090095,1926090095,SteadyHand HCS
1927916065,1927916065,Unplanned Reprieve
1929437677,1929437677,Antiquity
1939153390,1939153390,Close Enough
1941225610,1941225610,Meganeura
1954229677,1954229677,Next of Kin
1954620775,1954620775,Timed Payload
1968497646,1968497646,Armor-Piercing Rounds
1970437989,1970437989,Jade Jester
1971489086,1971489086,The Fourth Magic
1981661519,1981661519,Merry Maker
1992361643,1992361643,Anti-Taken Fletching
1996142143,1996142143,Black Powder
1998569185,1998569185,Timeline Zero
2000319334,2000319334,Restorative Titan Armor
2003108620,2003108620,Thin the Herd
2004366751,2004366751,Haetae's Judgment
2005782761,2005782761,Desert Camo
2010801679,2010801679,Ambitious Assassin
2019952880,2019952880,Serve the Colony
2020179519,2020179519,Polemology
2030760728,2030760728,Energy Transfer
2032054360,2032054360,Restorative Mod
2036459008,2036459008,The Bray Legacy
2039302152,2039302152,Slideways
2041229079,2041229079,Hailstorm
2054312700,2054312700,SC Holo
2054312701,2054312701,SD Thermal
2057077927,2057077927,Fell to Earth
2057203855,2057203855,Precision Frame
2066724468,2066724468,Skyline Constellation
2078097559,2078097559,Polymer Grip
2108556049,2108556049,Lightweight Frame
2110420504,2110420504,Down to Business
2114652868,2114652868,Mobile Hunter Armor
2117683199,2117683199,Full Auto Trigger System
2117927723,2117927723,Tangled Paladin
2119325971,2119325971,Vanishing Shadow
2121086290,2121086290,Rat Pack
2129059110,2129059110,Once More
2130042297,2130042297,Taken Predator
2144092201,2144092201,Noble Rounds
